question,answer
"Как настроить радар, чтобы он ловил камеры?","Установите фильтр слабых сигналов на 'Низкий' или 'Выключен' для лучшего обнаружения камер. Также отключите тихий режим и убедитесь, что громкость установлена на уровне 3–5. Установите фильтр скорости на минимальное значение (0–10 км/ч) или выключите его."
Почему мой радар Fujida не оповещает о камерах?,"Проверьте фильтр слабых сигналов — он должен быть 'Низкий' или 'Выключен'. Убедитесь, что отключён тихий режим и громкость достаточная. Также проверьте фильтр скорости. При необходимости обновите базу камер или прошивку."
"Радар работает без звука, как включить оповещения?","Убедитесь, что отключён тихий режим и установлена достаточная громкость (3–5)."
"Мой радар-детектор не видит камеры, что делать?","Настройте фильтр слабых сигналов на 'Низкий' или 'Выключен'. Убедитесь, что фильтр скорости выключен или настроен на минимальное значение. Проверьте наличие актуальной базы камер и при необходимости обновите прошивку."
"Нет звуковых оповещений о камерах, как настроить?",Отключите тихий режим и установите громкость на 3–5. Проверьте фильтр слабых сигналов и фильтр скорости.
"Какие настройки нужно изменить, чтобы радар начал оповещать о камерах?","Фильтр слабых сигналов — 'Низкий' или 'Выключен', фильтр скорости — минимальный или выключен, громкость — не менее 3, отключите тихий режим. После этого перезагрузите устройство."
После обновления прошивки радар перестал оповещать о камерах.,Перепроверьте настройки фильтров и громкости. Обновите базу камер заново и перезагрузите устройство.
Как установить обновление на устройство?,"Скачайте актуальную прошивку с сайта https://update.fujida.su/services/, разархивируйте файлы и скопируйте их в корень отформатированной SD-карты. Вставьте карту в выключенное устройство, подключите питание — начнётся обновление."
Как установить обновление на устройство Fujida?,"Скачайте архив с прошивкой на https://update.fujida.su/services/, отформатируйте SD-карту (FAT32, 32КБ кластер), скопируйте файлы, вставьте карту в устройство и подключите питание — обновление начнётся автоматически."
Что делать после копирования файлов прошивки на SD карту?,"Вставьте карту в выключенное устройство Fujida, подключите питание — обновление запустится автоматически. После завершения устройство перезагрузится, а файлы прошивки удалятся."
Процедура обновления прошивки на видеорегистраторе?,"Скачайте прошивку на https://update.fujida.su/services/, разархивируйте, отформатируйте SD-карту (FAT32, 32КБ), скопируйте файлы, вставьте карту в устройство, подключите питание — дождитесь окончания обновления."
